code,area,year,1_year_survival_rate,2_year_survival_rate,3_year_survival_rate,4_year_survival_rate,5_year_survival_rate,birth_rate,death_rate
E09000001,City of London,2002,89.5,79.9,66.4,57.6,52.4,0.0,0.0
E09000002,Barking and Dagenham,2002,94.3,77.0,57.5,47.1,40.2,0.0,0.0
E09000003,Barnet,2002,93.8,77.5,55.4,44.2,36.7,0.0,0.0
E09000004,Bexley,2002,92.8,77.8,61.4,50.3,42.5,0.0,0.0
E09000005,Brent,2002,93.6,69.4,49.5,38.2,32.1,0.0,0.0
E09000006,Bromley,2002,93.4,80.1,64.5,52.0,44.1,0.0,0.0
E09000007,Camden,2002,93.0,76.2,57.6,46.9,40.5,0.0,0.0
E09000008,Croydon,2002,93.2,77.4,57.7,47.0,40.1,0.0,0.0
E09000009,Ealing,2002,93.8,74.6,57.5,46.8,40.8,0.0,0.0
E09000010,Enfield,2002,92.3,77.4,58.5,47.9,39.7,0.0,0.0
E09000011,Greenwich,2002,93.5,76.6,58.4,45.5,37.0,0.0,0.0
E09000012,Hackney,2002,92.9,77.4,57.9,45.9,39.8,0.0,0.0
E09000013,Hammersmith and Fulham,2002,93.1,63.7,44.9,34.6,28.6,0.0,0.0
E09000014,Haringey,2002,93.2,73.3,53.4,41.5,35.6,0.0,0.0
E09000015,Harrow,2002,93.0,80.6,61.2,50.0,43.0,0.0,0.0
E09000016,Havering,2002,93.0,79.7,62.2,50.6,43.0,0.0,0.0
E09000017,Hillingdon,2002,91.1,78.0,58.4,49.1,40.2,0.0,0.0
E09000018,Hounslow,2002,93.3,75.8,56.5,46.6,39.5,0.0,0.0
E09000019,Islington,2002,92.6,76.0,57.5,46.5,40.0,0.0,0.0
E09000020,Kensington and Chelsea,2002,92.5,77.9,61.6,51.2,43.8,0.0,0.0
E09000021,Kingston upon Thames,2002,93.0,80.9,61.8,49.7,43.3,0.0,0.0
E09000022,Lambeth,2002,94.0,72.8,54.8,44.9,37.8,0.0,0.0
E09000023,Lewisham,2002,92.3,73.1,54.9,42.9,35.7,0.0,0.0
E09000024,Merton,2002,93.0,71.9,52.6,39.0,33.3,0.0,0.0
E09000025,Newham,2002,93.3,73.2,52.4,39.6,32.3,0.0,0.0
E09000026,Redbridge,2002,91.5,77.4,54.7,44.8,37.7,0.0,0.0
E09000027,Richmond upon Thames,2002,93.2,79.9,65.9,53.8,44.7,0.0,0.0
E09000028,Southwark,2002,92.6,75.9,58.2,46.5,40.1,0.0,0.0
E09000029,Sutton,2002,93.6,81.4,64.3,50.7,41.4,0.0,0.0
E09000030,Tower Hamlets,2002,92.7,74.7,54.9,43.8,36.1,0.0,0.0
E09000031,Waltham Forest,2002,93.9,73.5,51.0,38.8,32.1,0.0,0.0
E09000032,Wandsworth,2002,93.6,67.4,49.8,38.7,32.4,0.0,0.0
E09000033,Westminster,2002,91.2,76.5,58.6,46.4,39.6,0.0,0.0
E13000001,Inner London,2002,92.5,74.2,56.0,44.8,38.2,0.0,0.0
E13000002,Outer London,2002,93.1,76.9,57.9,46.5,39.3,0.0,0.0
E12000001,North East,2002,93.6,78.3,62.0,51.5,44.4,0.0,0.0
E12000002,North West,2002,92.7,79.3,62.6,51.7,44.8,0.0,0.0
E12000003,Yorkshire And The Humber,2002,93.5,79.5,64.0,53.2,45.8,0.0,0.0
E12000004,East Midlands,2002,93.3,80.6,64.2,53.3,46.4,0.0,0.0
E12000005,West Midlands,2002,92.1,79.2,63.2,52.9,45.9,0.0,0.0
E12000006,East,2002,93.3,80.4,64.7,54.5,47.3,0.0,0.0
E12000007,London,2002,92.8,75.4,56.9,45.6,38.7,0.0,0.0
E12000008,South East,2002,93.1,81.7,66.1,53.6,46.6,0.0,0.0
E12000009,South West,2002,92.3,80.1,65.0,54.6,47.6,0.0,0.0
E92000001,England,2002,92.9,79.2,62.7,51.7,44.6,0.0,0.0
W92000004,Wales,2002,91.4,77.7,62.3,51.6,44.8,0.0,0.0
S92000003,Scotland,2002,93.8,80.3,63.6,52.6,45.6,0.0,0.0
N92000002,Northern Ireland,2002,94.2,83.2,69.2,61.6,55.5,0.0,0.0
